Agency,Program Model,Division,Site Name,Address,Street Number,Street Direction,Street Name,Street Type,Address Line 2,City,State,ZIP,Phone Number,Phone Extension,Ward,Community Area,Community Area Number,X Coordinate,Y Coordinate,Latitude,Longitude,Location
"Ada S. McKinley Community Services, Inc.",Early Head Start – Child Care Partnership,Children Services,Precious Little Ones - 47th,624 E 47TH ST,624,E,47TH,ST,,Chicago,IL,60653,7732682685,,4,GRAND BOULEVARD,38,1181348.2268436,1874033.3782899,41.8095882,-87.6103618,"(41.8095882, -87.6103618)"
"Ada S. McKinley Community Services, Inc.",Early Head Start – Child Care Partnership,Children Services,Precious Little Ones - 51st,221 E 51ST ST,221,E,51ST,ST,,Chicago,IL,60615,7732859902,,3,WASHINGTON PARK,40,1178695.9481481,1871220.8880946,41.8019313,-87.6201754,"(41.8019313, -87.6201754)"
"Ada S. McKinley Community Services, Inc.",Early Head Start – Child Care Partnership,Children Services,Precious Little Ones - 63rd,22 E 63RD ST,22,E,63RD,ST,,Chicago,IL,60637,7738915055,,20,WASHINGTON PARK,40,1177586.041637,1863272.4675592,41.7801453,-87.6244862,"(41.7801453, -87.6244862)"
"Ada S. McKinley Community Services, Inc.",Early Head Start – RTL,Children Services,Children's Center (Western),7956 S WESTERN AVE,7956,S,WESTERN,AVE,,Chicago,IL,60620,7734768805,,18,ASHBURN,70,1161726.7759037,1851575.7208388,41.7483918,-87.6829531,"(41.7483918, -87.6829531)"
"Ada S. McKinley Community Services, Inc.",Early Head Start – RTL,Children Services,Montessori Academy 2,10232 S HALSTED ST,10232,S,HALSTED,ST,,Chicago,IL,60628,7732331100,,34,WASHINGTON HEIGHTS,73,1172747.3133817,1836847.749258,41.7077405,-87.6430028,"(41.7077405, -87.6430028)"
"Ada S. McKinley Community Services, Inc.",Early Head Start – RTL,Children Services,Precious Little Ones - 47th,624 E 47TH ST,624,E,47TH,ST,,Chicago,IL,60653,7732682685,,4,GRAND BOULEVARD,38,1181348.2268436,1874033.3782899,41.8095882,-87.6103618,"(41.8095882, -87.6103618)"
"Ada S. McKinley Community Services, Inc.",Early Head Start – RTL,Children Services,Precious Little Ones - 63rd,22 E 63RD ST,22,E,63RD,ST,,Chicago,IL,60637,7738915055,,20,WASHINGTON PARK,40,1177586.041637,1863272.4675592,41.7801453,-87.6244862,"(41.7801453, -87.6244862)"
"Ada S. McKinley Community Services, Inc.",Head Start,Children Services,Children's Center (Halsted),12803 S HALSTED ST,12803,S,HALSTED,ST,,Chicago,IL,60628,7732645171,,34,WEST PULLMAN,53,1173373.3538352,1819917.5693245,41.6612676,-87.6412084,"(41.6612676, -87.6412084)"
"Ada S. McKinley Community Services, Inc.",Head Start,Children Services,Children's Center (Western),7956 S WESTERN AVE,7956,S,WESTERN,AVE,,Chicago,IL,60620,7734768805,,18,ASHBURN,70,1161726.7759037,1851575.7208388,41.7483918,-87.6829531,"(41.7483918, -87.6829531)"
"Ada S. McKinley Community Services, Inc.",Head Start,Children Services,Dream Child Development,1836 W 87TH ST,1836,W,87TH,ST,,Chicago,IL,60620,7737156265,,21,AUBURN GRESHAM,71,1165450.0929266,1847021.1448131,41.7358153,-87.6694383,"(41.7358153, -87.6694383)"
"Ada S. McKinley Community Services, Inc.",Head Start,Children Services,J & L Family Learning Day Care,11640 S WENTWORTH AVE,11640,S,WENTWORTH,AVE,,Chicago,IL,60628,7738211808,,34,WEST PULLMAN,53,1176992.3104918,1827574.1163402,41.6821978,-87.6277358,"(41.6821978, -87.6277358)"
Chicago Youth Centers,Head Start,Children Services,ABC,3415 W 13TH PL,3415,W,13TH,PL,,Chicago,IL,60623,7737625655,,24,NORTH LAWNDALE,29,1153733.7659838,1893652.6361062,41.8640187,-87.7111263,"(41.8640187, -87.7111263)"
"Ada S. McKinley Community Services, Inc.",Head Start,Children Services,Little Folks Cottage,5926 W MADISON ST,5926,W,MADISON,ST,,Chicago,IL,60644,7733794419,,29,AUSTIN,25,1136872.530848,1899442.4956134,41.8802256,-87.7728853,"(41.8802256, -87.7728853)"
"Ada S. McKinley Community Services, Inc.",Head Start,Children Services,Little Genius,11439 S MICHIGAN AVE,11439,S,MICHIGAN,AVE,,Chicago,IL,60628,7736298091,,9,ROSELAND,49,1178908.214049,1828961.4954066,41.6859617,-87.6206805,"(41.6859617, -87.6206805)"
"Ada S. McKinley Community Services, Inc.",Head Start,Children Services,Little Hands,7146 S ASHLAND AVE,7146,S,ASHLAND,AVE,,Chicago,IL,60636,7734710662,,17,WEST ENGLEWOOD,67,1166884.9951001,1857124.9398149,41.763511,-87.6638933,"(41.763511, -87.6638933)"
"Ada S. McKinley Community Services, Inc.",Head Start,Children Services,McKinley-Ersula Howard,7222 S EXCHANGE AVE,7222,S,EXCHANGE,AVE,,Chicago,IL,60649,7732219711,,7,SOUTH SHORE,43,1193938.4160504,1857455.5996721,41.7637978,-87.5647275,"(41.7637978, -87.5647275)"
"Ada S. McKinley Community Services, Inc.",Head Start,Children Services,McKinley-Maggie Drummond,4301 S WABASH AVE,4301,S,WABASH,AVE,,Chicago,IL,60653,7733738200,,3,GRAND BOULEVARD,38,1177471.7477859,1876492.6834015,41.8164254,-87.6245056,"(41.8164254, -87.6245056)"
"Ada S. McKinley Community Services, Inc.",Head Start,Children Services,McKinley-Roseland,11400 S EDBROOKE AVE,11400,S,EDBROOKE,AVE,,Chicago,IL,60628,7734681918,,9,ROSELAND,49,1179197.9667124,1829351.5293603,41.6870255,-87.6196079,"(41.6870255, -87.6196079)"
"Ada S. McKinley Community Services, Inc.",Head Start,Children Services,McKinley-Trumbull Park,10530 S OGLESBY AVE,10530,S,OGLESBY,AVE,,Chicago,IL,60617,7739785341,,7,SOUTH DEERING,51,1193817.9899412,1835700.5322714,41.704103,-87.5658798,"(41.704103, -87.5658798)"
"Ada S. McKinley Community Services, Inc.",Head Start,Children Services,Montessori Academy,11025 S HALSTED ST,11025,S,HALSTED,ST,,Chicago,IL,60628,7734680033,,34,ROSELAND,49,1172990.7188443,1831627.7101645,41.6934105,-87.6422649,"(41.6934105, -87.6422649)"
"Ada S. McKinley Community Services, Inc.",Head Start,Children Services,Montessori Academy 2,10232 S HALSTED ST,10232,S,HALSTED,ST,,Chicago,IL,60628,7732331100,,34,WASHINGTON HEIGHTS,73,1172747.3133817,1836847.749258,41.7077405,-87.6430028,"(41.7077405, -87.6430028)"
"Ada S. McKinley Community Services, Inc.",Head Start,Children Services,Precious Little Ones - 51st,221 E 51ST ST,221,E,51ST,ST,,Chicago,IL,60615,7732859902,,3,WASHINGTON PARK,40,1178695.9481481,1871220.8880946,41.8019313,-87.6201754,"(41.8019313, -87.6201754)"
"Ada S. McKinley Community Services, Inc.",Head Start,Children Services,Precious Little Ones - 63rd,22 E 63RD ST,22,E,63RD,ST,,Chicago,IL,60637,7738915055,,20,WASHINGTON PARK,40,1177586.041637,1863272.4675592,41.7801453,-87.6244862,"(41.7801453, -87.6244862)"
"Ada S. McKinley Community Services, Inc.",Head Start,Children Services,Stepping Stones CCC,1300 E 75TH ST,1300,E,75TH,ST,,Chicago,IL,60619,7734930000,,8,SOUTH SHORE,43,1186194.2585012,1855570.4383721,41.7588112,-87.5931705,"(41.7588112, -87.5931705)"
"Albany Park Community Center, Incorporated",Child Care Only,Children Services,Albany Park - Ainslie,3401 W AINSLIE ST,3401,W,AINSLIE,ST,,Chicago,IL,60625,7735395907,,33,ALBANY PARK,14,1152823.3374641,1932308.8632019,41.9701129,-87.7134427,"(41.9701129, -87.7134427)"
"Albany Park Community Center, Incorporated",Head Start,Children Services,Albany Park - Ainslie,3401 W AINSLIE ST,3401,W,AINSLIE,ST,,Chicago,IL,60625,7735395907,,33,ALBANY PARK,14,1152823.3374641,1932308.8632019,41.9701129,-87.7134427,"(41.9701129, -87.7134427)"
"Albany Park Community Center, Incorporated",Head Start,Children Services,Albany Park - Kimball,5101 N KIMBALL AVE,5101,N,KIMBALL,AVE,,Chicago,IL,60625,7735095657,,39,NORTH PARK,13,1152832.1715213,1933731.4533259,41.9740164,-87.7133724,"(41.9740164, -87.7133724)"
"Albany Park Community Center, Incorporated",Head Start,Children Services,Albany Park - Uptown,1020 W BRYN MAWR AVE,1020,W,BRYN MAWR,AVE,,Chicago,IL,60660,7737693197,,48,EDGEWATER,77,1168369.1873724,1937415.2702106,41.9838021,-87.6561316,"(41.9838021, -87.6561316)"
"Asian Human Services, Inc.",Early Learning for Immigrant Families,Children Services,"Asian Human Services, Inc",2838 W PETERSON AVE,2838,W,PETERSON,AVE,,Chicago,IL,60659,7737282235,,50,WEST RIDGE,2,1156171.5029906,1939779.2488742,41.9905448,-87.7009285,"(41.9905448, -87.7009285)"
"Beacon Therapeutic  School, Inc. dba Beacon Therapeutic Diagnostic and Treatment Center, Inc.",Early Head Start,Children Services,Beacon Therapeutic,1912 W 103RD ST,1912,W,103RD,ST,,Chicago,IL,60643,7732981243,,19,BEVERLY,72,1165468.6955057,1836406.4995277,41.7066866,-87.6696699,"(41.7066866, -87.6696699)"
Better Boys Foundation dba BBF family Services,Child Care Only,Children Services,BBF Family Service,1512 S PULASKI RD,1512,S,PULASKI,RD,,Chicago,IL,60623,7735427300,,24,NORTH LAWNDALE,29,1149925.52777,1892255.9607849,41.860261,-87.7251426,"(41.860261, -87.7251426)"
Board of Education City of Chicago,Head Start,Children Services,Aldridge  Ira F.,630 E 131ST ST,630,E,131ST,ST,,Chicago,IL,60827,7735355614,,9,RIVERDALE,54,1182870.2934784,1818598.1781405,41.6574324,-87.6064962,"(41.6574324, -87.6064962)"
Board of Education City of Chicago,Head Start,Children Services,Azuela  Mariano,4707 W MARQUETTE RD,4707,W,MARQUETTE,RD,,Chicago,IL,60629,7735357395,,13,WEST LAWN,65,1146123.6399022,1859720.3880767,41.7710516,-87.7399233,"(41.7710516, -87.7399233)"
Board of Education City of Chicago,Head Start,Children Services,Barton Clara,7650 S WOLCOTT AVE,7650,S,WOLCOTT,AVE,,Chicago,IL,60620,7735353260,,17,AUBURN GRESHAM,71,1164981.8957414,1853724.2967571,41.7542196,-87.6709645,"(41.7542196, -87.6709645)"
Board of Education City of Chicago,Head Start,Children Services,Bass Perkins,1140 W 66TH ST,1140,W,66TH,ST,,Chicago,IL,60621,7735353275,,16,ENGLEWOOD,68,1169677.9327084,1861068.9427655,41.7742738,-87.6535423,"(41.7742738, -87.6535423)"
Board of Education City of Chicago,Head Start,Children Services,Beethoven  Ludwig V.,25 W 47TH ST,25,W,47TH,ST,,Chicago,IL,60609,7735351480,,3,GRAND BOULEVARD,38,1176782.6104887,1873820.3310583,41.8091078,-87.627114,"(41.8091078, -87.627114)"
Board of Education City of Chicago,Head Start,Children Services,Beidler  Jacob,3151 W WALNUT ST,3151,W,WALNUT,ST,,Chicago,IL,60612,7735346811,,27,EAST GARFIELD PARK,27,1155122.8619995,1901415.8318256,41.885294,-87.7058186,"(41.885294, -87.7058186)"
Board of Education City of Chicago,Head Start,Children Services,Bond  Carrie Jacobs,7050 S MAY ST,7050,S,MAY,ST,,Chicago,IL,60621,7735353480,,6,ENGLEWOOD,68,1169836.4436895,1857831.5031858,41.7653864,-87.6530551,"(41.7653864, -87.6530551)"
Board of Education City of Chicago,Head Start,Children Services,Boone  Daniel,6710 N WASHTENAW AVE,6710,N,WASHTENAW,AVE,,Chicago,IL,60645,7735342160,,50,WEST RIDGE,2,1157068.6568339,1944483.4722146,42.0034352,-87.6975001,"(42.0034352, -87.6975001)"
Board of Education City of Chicago,Head Start,Children Services,Bouchet  Edward A,7355 S JEFFERY BLVD,7355,S,JEFFERY,BLVD,,Chicago,IL,60649,7735350501,,7,SOUTH SHORE,43,1190861.9779284,1856358.038442,41.7608609,-87.5760385,"(41.7608609, -87.5760385)"
Board of Education City of Chicago,Head Start,Children Services,Bradwell  Myra,7736 S BURNHAM AVE,7736,S,BURNHAM,AVE,,Chicago,IL,60649,7735356600,,7,SOUTH SHORE,43,1196028.8107626,1854039.8981938,41.7543734,-87.5571788,"(41.7543734, -87.5571788)"
Board of Education City of Chicago,Head Start,Children Services,Brown  Ronald,12607 S UNION AVE,12607,S,UNION,AVE,,Chicago,IL,60628,7735355385,,9,WEST PULLMAN,53,1173988.0719931,1821226.1947673,41.6648451,-87.6389203,"(41.6648451, -87.6389203)"
Board of Education City of Chicago,Head Start,Children Services,Brunson Math & Science  Milton,932 N CENTRAL AVE,932,N,CENTRAL,AVE,,Chicago,IL,60651,7735349674,,29,AUSTIN,25,1138802.7104188,1905814.9573352,41.8976776,-87.765643,"(41.8976776, -87.765643)"
Board of Education City of Chicago,Head Start,Children Services,Burke  Edmond,5356 S DR MARTIN LUTHER KING JR DR,5356,S,DR MARTIN LUTHER KING JR,DR,,Chicago,IL,60615,7735351325,,3,WASHINGTON PARK,40,1179801.4692297,1869357.523296,41.7967928,-87.6161781,"(41.7967928, -87.6161781)"
Board of Education City of Chicago,Head Start,Children Services,Cameron  Daniel R.,1234 N MONTICELLO AVE,1234,N,MONTICELLO,AVE,,Chicago,IL,60651,7735344290,,26,HUMBOLDT PARK,23,1151767.5462124,1908130.0675327,41.9037852,-87.7179631,"(41.9037852, -87.7179631)"
Board of Education City of Chicago,Head Start,Children Services,Cardenas  Lazaro,2406 S CENTRAL PARK AVE,2406,S,CENTRAL PARK,AVE,,Chicago,IL,60623,7735341465,,22,SOUTH LAWNDALE,30,1152712.0270317,1887724.3888241,41.8477712,-87.7150338,"(41.8477712, -87.7150338)"
Board of Education City of Chicago,Head Start,Children Services,Cather  Willa,2908 W WASHINGTON BLVD,2908,W,WASHINGTON,BLVD,,Chicago,IL,60612,7735346780,,27,EAST GARFIELD PARK,27,1156925.0534529,1900584.7191561,41.882977,-87.6992232,"(41.882977, -87.6992232)"
Board of Education City of Chicago,Head Start,Children Services,Chalmers  Thomas,2745 W ROOSEVELT RD,2745,W,ROOSEVELT,RD,,Chicago,IL,60608,7735341720,,28,NORTH LAWNDALE,29,1158048.936301,1894554.9258119,41.8664078,-87.6952608,"(41.8664078, -87.6952608)"
Board of Education City of Chicago,Head Start,Children Services,Chase Elementary,2021 N POINT ST,2021,N,POINT,ST,,Chicago,IL,60647,7735344185,,1,LOGAN SQUARE,22,1158104.8696362,1913362.1624649,41.9180154,-87.6945414,"(41.9180154, -87.6945414)"
Board of Education City of Chicago,Head Start,Children Services,Chopin  Frederic,2450 W RICE ST,2450,W,RICE,ST,,Chicago,IL,60622,7735344080,,26,WEST TOWN,24,1159698.0854406,1905621.0562498,41.8967405,-87.6889015,"(41.8967405, -87.6889015)"
Board of Education City of Chicago,Head Start,Children Services,Claremont Math and Science Academy,2300 W 64TH ST,2300,W,64TH,ST,,Chicago,IL,60636,7735358110,,16,CHICAGO LAWN,66,1162155.6446813,1862200.0516175,41.7775375,-87.6810863,"(41.7775375, -87.6810863)"
Board of Education City of Chicago,Head Start,Children Services,Cooper Dual Language Academy  Peter,1624 W 19TH ST,1624,W,19TH,ST,,Chicago,IL,60608,7735347205,,25,LOWER WEST SIDE,31,1165708.5174455,1890841.5831092,41.8560584,-87.6672475,"(41.8560584, -87.6672475)"
Board of Education City of Chicago,Head Start,Children Services,Corkery  Daniel,2510 S KILDARE AVE,2510,S,KILDARE,AVE,,Chicago,IL,60623,7735341650,,22,SOUTH LAWNDALE,30,1148304.879137,1886901.4141976,41.8455988,-87.7312295,"(41.8455988, -87.7312295)"
Board of Education City of Chicago,Head Start,Children Services,Crown Academy,2128 S ST LOUIS AVE,2128,S,ST LOUIS,AVE,,Chicago,IL,60623,7735341680,,24,NORTH LAWNDALE,29,1153387.6486944,1889511.3864984,41.8526615,-87.7125068,"(41.8526615, -87.7125068)"
Board of Education City of Chicago,Head Start,Children Services,Curtis  George W.,32 E 115TH ST,32,E,115TH,ST,,Chicago,IL,60628,7735355050,,9,ROSELAND,49,1178641.8111895,1828771.2622031,41.6854457,-87.6216615,"(41.6854457, -87.6216615)"
Board of Education City of Chicago,Head Start,Children Services,Daley  Richard J.,5024 S WOLCOTT AVE,5024,S,WOLCOTT,AVE,,Chicago,IL,60609,7735359091,,20,NEW CITY,61,1164498.218458,1871257.7056326,41.8023438,-87.6722431,"(41.8023438, -87.6722431)"
Board of Education City of Chicago,Head Start,Children Services,Davis  Nathan,3014 W 39TH PL,3014,W,39TH,PL,,Chicago,IL,60632,7735354540,,12,BRIGHTON PARK,58,1156815.412008,1878318.6285028,41.8218786,-87.7002286,"(41.8218786, -87.7002286)"
Board of Education City of Chicago,Head Start,Children Services,DePriest  Oscar,139 S PARKSIDE AVE,139,S,PARKSIDE,AVE,,Chicago,IL,60639,7735346800,,29,AUSTIN,25,1138681.7031059,1898643.0372354,41.8779991,-87.7662615,"(41.8779991, -87.7662615)"
Board of Education City of Chicago,Head Start,Children Services,Dett  R. Nathaniel,2131 W MONROE ST,2131,W,MONROE,ST,,Chicago,IL,60612,7735347160,,27,NEAR WEST SIDE,28,1162083.3814381,1899481.0979277,41.8798424,-87.6803124,"(41.8798424, -87.6803124)"
Board of Education City of Chicago,Head Start,Children Services,Dewey,5415 S UNION AVE,5415,S,UNION,AVE,,Chicago,IL,60609,7735351666,,20,NEW CITY,61,1172596.0501397,1868881.7912,41.7956493,-87.642615,"(41.7956493, -87.642615)"
Board of Education City of Chicago,Head Start,Children Services,Dodge Renaissance Academy  Mary Mapes,431 N TROY ST,431,N,TROY,ST,,Chicago,IL,60612,7735346640,,27,HUMBOLDT PARK,23,1155338.2455579,1902872.4026017,41.8892867,-87.7049885,"(41.8892867, -87.7049885)"
Board of Education City of Chicago,Head Start,Children Services,Doolittle  James R.,535 E 35TH ST,535,E,35TH,ST,,Chicago,IL,60616,7735351040,,4,DOUGLAS,35,1180586.1100642,1881863.4462036,41.8310921,-87.6129163,"(41.8310921, -87.6129163)"
Board of Education City of Chicago,Head Start,Children Services,Dulles  John Foster,6311 S CALUMET AVE,6311,S,CALUMET,AVE,,Chicago,IL,60637,7735350690,,20,GREATER GRAND CROSSING,69,1179581.2372744,1863162.0820389,41.779797,-87.6171749,"(41.779797, -87.6171749)"
Board of Education City of Chicago,Head Start,Children Services,Dvorak Math & Science Tech Academy  Anton,3615 W 16TH ST,3615,W,16TH,ST,,Chicago,IL,60623,7735341690,,24,NORTH LAWNDALE,29,1152488.8511275,1891762.2569268,41.858856,-87.7157463,"(41.858856, -87.7157463)"
Board of Education City of Chicago,Head Start,Children Services,Eberhart  John F.,3400 W 65TH PL,3400,W,65TH,PL,,Chicago,IL,60629,7735359190,,23,CHICAGO LAWN,66,1154822.3649529,1861019.3834466,41.7744471,-87.7080019,"(41.7744471, -87.7080019)"
Board of Education City of Chicago,Head Start,Children Services,Edwards  Richard,4950 S LAPORTE AVE,4950,S,LAPORTE,AVE,,Chicago,IL,60632,7735354875,,22,GARFIELD RIDGE,56,1144160.6771191,1871135.4711116,41.8024134,-87.7468334,"(41.8024134, -87.7468334)"
Board of Education City of Chicago,Head Start,Children Services,Ellington  Edward Duke K.,224 N CENTRAL AVE,224,N,CENTRAL,AVE,,Chicago,IL,60644,7735346361,,29,AUSTIN,25,1138959.6796311,1901197.209558,41.8850031,-87.7651787,"(41.8850031, -87.7651787)"
Board of Education City of Chicago,Head Start,Children Services,Ericson  Leif,3600 W FIFTH AVE,3600,W,FIFTH,AVE,,Chicago,IL,60624,7735346660,,28,EAST GARFIELD PARK,27,1152417.4439199,1897922.5401132,41.8757619,-87.7158457,"(41.8757619, -87.7158457)"
Board of Education City of Chicago,Head Start,Children Services,Esmond Elementary,1865 W MONTVALE AVE,1865,W,MONTVALE,AVE,,Chicago,IL,60643,7735352650,,19,MORGAN PARK,75,1165656.1356552,1830105.1420117,41.6893907,-87.6691614,"(41.6893907, -87.6691614)"
Board of Education City of Chicago,Head Start,Children Services,Everett  Edward,3419 S BELL AVE,3419,S,BELL,AVE,,Chicago,IL,60608,7735354550,,12,MCKINLEY PARK,59,1161955.375333,1881878.5531683,41.831542,-87.6812732,"(41.831542, -87.6812732)"
Board of Education City of Chicago,Head Start,Children Services,Finkl  William F.,2332 S WESTERN AVE,2332,S,WESTERN,AVE,,Chicago,IL,60608,7735355850,,25,LOWER WEST SIDE,31,1160699.3058862,1888303.5214943,41.8491988,-87.6857041,"(41.8491988, -87.6857041)"
Board of Education City of Chicago,Head Start,Children Services,Fiske  John,6020 S LANGLEY AVE,6020,S,LANGLEY,AVE,,Chicago,IL,60637,7735350990,,20,WOODLAWN,42,1181884.6595978,1865139.7606054,41.785171,-87.6086693,"(41.785171, -87.6086693)"
Board of Education City of Chicago,Head Start,Children Services,Fort Dearborn,9025 S THROOP ST,9025,S,THROOP,ST,,Chicago,IL,60620,7735352680,,21,WASHINGTON HEIGHTS,73,1169287.1833006,1844810.53795,41.729667,-87.6554443,"(41.729667, -87.6554443)"
Board of Education City of Chicago,Head Start,Children Services,Fuller  Melville W.,4214 S ST LAWRENCE AVE,4214,S,ST LAWRENCE,AVE,,Chicago,IL,60653,7735351687,,4,GRAND BOULEVARD,38,1180924.7214582,1877097.4644229,41.8180061,-87.6118208,"(41.8180061, -87.6118208)"
Board of Education City of Chicago,Head Start,Children Services,Fulton  Robert,5300 S HERMITAGE AVE,5300,S,HERMITAGE,AVE,,Chicago,IL,60609,7735359000,,16,NEW CITY,61,1165540.2441466,1869516.2081415,41.7975429,-87.6684709,"(41.7975429, -87.6684709)"
Board of Education City of Chicago,Head Start,Children Services,Funston  Frederick,2010 N CENTRAL PARK AVE,2010,N,CENTRAL PARK,AVE,,Chicago,IL,60647,7735344125,,26,LOGAN SQUARE,22,1152012.9628924,1913173.9559415,41.9176213,-87.7169285,"(41.9176213, -87.7169285)"
Board of Education City of Chicago,Head Start,Children Services,Gale Comm. Acad.  Stephen F.,1631 W JONQUIL TER,1631,W,JONQUIL,TER,,Chicago,IL,60626,7735342100,,49,ROGERS PARK,1,1163959.5172673,1950960.2045718,42.0210642,-87.6719648,"(42.0210642, -87.6719648)"
Board of Education City of Chicago,Head Start,Children Services,Gary  Joseph E.,3740 W 31ST ST,3740,W,31ST,ST,,Chicago,IL,60623,7735341455,,22,SOUTH LAWNDALE,30,1151739.739102,1883825.9202153,41.8370925,-87.7187045,"(41.8370925, -87.7187045)"
Board of Education City of Chicago,Head Start,Children Services,Goudy  William C.,5120 N WINTHROP AVE,5120,N,WINTHROP,AVE,,Chicago,IL,60640,7735342480,,48,UPTOWN,3,1167897.9921283,1934499.5054551,41.9758114,-87.6579492,"(41.9758114, -87.6579492)"
Board of Education City of Chicago,Head Start,Children Services,Graham  Alexander,4436 S UNION AVE,4436,S,UNION,AVE,,Chicago,IL,60609,7735351308,,11,NEW CITY,61,1172335.7020617,1875308.9969816,41.813292,-87.6433805,"(41.813292, -87.6433805)"
Board of Education City of Chicago,Head Start,Children Services,Gregory Academy,3715 W POLK ST,3715,W,POLK,ST,,Chicago,IL,60624,7735346820,,24,EAST GARFIELD PARK,27,1151660.5653553,1896077.8119119,41.8707147,-87.7186732,"(41.8707147, -87.7186732)"
Board of Education City of Chicago,Head Start,Children Services,Gresham  Walter Q.,8524 S GREEN ST,8524,S,GREEN,ST,,Chicago,IL,60620,7735353350,,21,AUBURN GRESHAM,71,1172094.3142259,1848202.3083686,41.7389133,-87.6450617,"(41.7389133, -87.6450617)"
Board of Education City of Chicago,Head Start,Children Services,Haley  Alex,11411 S EGGLESTON AVE,11411,S,EGGLESTON,AVE,,Chicago,IL,60628,7735355340,,34,ROSELAND,49,1175378.7137503,1829178.5731801,41.6866368,-87.6335948,"(41.6866368, -87.6335948)"
Board of Education City of Chicago,Head Start,Children Services,Hamline  John H,4652 S BISHOP ST,4652,S,BISHOP,ST,,Chicago,IL,60609,7735354565,,15,NEW CITY,61,1167417.2857835,1873674.6360122,41.808914,-87.6614683,"(41.808914, -87.6614683)"
Board of Education City of Chicago,Head Start,Children Services,Harvard  John,7525 S HARVARD AVE,7525,S,HARVARD,AVE,,Chicago,IL,60620,7735353045,,6,GREATER GRAND CROSSING,69,1175413.4272027,1854942.1166385,41.7573347,-87.6327001,"(41.7573347, -87.6327001)"
Board of Education City of Chicago,Head Start,Children Services,Haugan Elementary,4540 N HAMLIN AVE,4540,N,HAMLIN,AVE,,Chicago,IL,60625,7735345040,,35,ALBANY PARK,14,1150195.2362749,1930075.1758611,41.9640352,-87.723165,"(41.9640352, -87.723165)"
Board of Education City of Chicago,Head Start,Children Services,Hay Comm. Academy  John,1018 N LARAMIE AVE,1018,N,LARAMIE,AVE,,Chicago,IL,60651,7735346000,,37,AUSTIN,25,1141465.0482532,1906381.9465056,41.8991847,-87.7558503,"(41.8991847, -87.7558503)"
