SITE TYPE,SITE NAME,HOURS OF OPERATION,ADDRESS,CITY,STATE,ZIP,PHONE,MONDAY-OPEN,MONDAY-CLOSE,TUESDAY-OPEN,TUESDAY-CLOSE,WEDNESDAY-OPEN,WEDNESDAY-CLOSE,THURSDAY-OPEN,THURSDAY-CLOSE,FRIDAY-OPEN,FRIDAY-CLOSE,SATURDAY-OPEN,SATURDAY-CLOSE,SUNDAY-OPEN,SUNDAY-CLOSE,ADDITIONAL NOTES,LOCATION
Police Station,District 2,Open Saturday And Sunday,5101 S Wentworth Ave,Chicago,IL,60609,(312) 747-8366,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"5101 Wentworth Ave
Chicago, IL 60609
(41.80181236132043, -87.63063516381594)"
Police Station,District 3,Open Saturday And Sunday,7040 S Cottage Grove Ave,Chicago,IL,60637,(312) 747-8201,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"7040 Cottage Grove Ave
Chicago, IL 60637
(41.766487809914835, -87.60565422037726)"
Police Station,District 4,Open Saturday And Sunday,2255 E 103rd St,Chicago,IL,60617,(312) 747-7581,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"2255 103rd St
Chicago, IL 60617
(41.708010995083974, -87.56760626085435)"
Police Station,District 5,Open Saturday And Sunday,727 E 111th St,Chicago,IL,60628,(312) 747-8210,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"727 111th St
Chicago, IL 60628
(41.692768796775, -87.60546461966248)"
Police Station,District 6,Open Saturday And Sunday,7808 S Halsted St,Chicago,IL,60620,(312) 745-3617,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"7808 Halsted St
Chicago, IL 60620
(41.75227376972855, -87.64413530585745)"
Police Station,District 7,Open Saturday And Sunday,1438 W 63rd St,Chicago,IL,60636,(312) 747-8223,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"1438 63rd St
Chicago, IL 60636
(41.779554236061244, -87.66086368854025)"
Police Station,District 8,Open Saturday And Sunday,3420 W 63rd St,Chicago,IL,60629,(312) 747-8730,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"3420 63rd St
Chicago, IL 60629
(41.77891571742043, -87.70886949846425)"
Police Station,District 9,Open Saturday And Sunday,3120 S Halsted St,Chicago,IL,60608,(312) 747-8227,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"3120 Halsted St
Chicago, IL 60608
(41.83770312989609, -87.64635129661039)"
Police Station,District 10,Open Saturday And Sunday,3315 W Ogden Ave,Chicago,IL,60623,(312) 747-7511,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"3315 Ogden Ave
Chicago, IL 60623
(41.85661714075195, -87.70861768829604)"
Police Station,District 11,Open Saturday And Sunday,3151 W Harrison St,Chicago,IL,60612,(312) 746-8386,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"3151 Harrison St
Chicago, IL 60612
(41.87363569375314, -87.70470139136083)"
Police Station,District 12,Open Saturday And Sunday,100 S Racine Ave,Chicago,IL,60607,(312) 746-8309,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"100 Racine Ave
Chicago, IL 60607
(41.88029254022915, -87.65718605280287)"
Police Station,District 13,Open Saturday And Sunday,937 N Wood St,Chicago,IL,60622,(312) 746-8357,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"937 Wood St
Chicago, IL 60622
(41.89868827517644, -87.6721713911488)"
Police Station,District 14,Open Saturday And Sunday,2150 N California Ave,Chicago,IL,60647,(312) 744-8250,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"2150 California Ave
Chicago, IL 60647
(41.92094381440253, -87.6973694461494)"
Police Station,District 15,Open Saturday And Sunday,5701 W Madison St,Chicago,IL,60644,(312) 743-1440,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"5701 Madison St
Chicago, IL 60644
(41.88016139147908, -87.7683326710416)"
Police Station,District 16,Open Saturday And Sunday,5151 N Milwaukee Ave,Chicago,IL,60630,(312) 742-4480,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"5151 Milwaukee Ave
Chicago, IL 60630
(41.97406875064436, -87.76622325596205)"
Police Station,District 17,Open Saturday And Sunday,4650 N Pulaski Rd,Chicago,IL,60630,(312) 742-4410,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"4650 Pulaski Rd
Chicago, IL 60630
(41.96617255036131, -87.72801606446808)"
Police Station,District 18,Open Saturday And Sunday,1160 N Larrabee St,Chicago,IL,60610,(312) 742-5870,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"1160 Larrabee St
Chicago, IL 60610
(41.90324698797116, -87.64321899032535)"
Police Station,District 19,Open Saturday And Sunday,850 W Addison St,Chicago,IL,60613,(312) 744-8320,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"850 Addison St
Chicago, IL 60613
(41.94734508071834, -87.65096073232333)"
Police Station,District 20,Open Saturday And Sunday,5400 N Lincoln Ave,Chicago,IL,60625,(312) 742-8714,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"5400 Lincoln Ave
Chicago, IL 60625
(41.97968036724137, -87.69275364769919)"
Police Station,District 22,Open Saturday And Sunday,1900 W Monterey Ave,Chicago,IL,60643,(312) 745-0710,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"1900 Monterey Ave
Chicago, IL 60643
(41.69137510453929, -87.66849878751209)"
Police Station,District 24,Open Saturday And Sunday,6464 N Clark St,Chicago,IL,60626,(312) 744-5907,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"6464 Clark St
Chicago, IL 60626
(41.999646075961806, -87.6711905180936)"
Police Station,District 25,Open Saturday And Sunday,5555 W Grand Ave,Chicago,IL,60639,(312) 746-8605,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"5555 Grand Ave
Chicago, IL 60639
(41.918443447300604, -87.76438070966057)"
Library,Albany Park,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",5150 N Kimball Ave,Chicago,IL,60625,(312) 744-1933,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"5150 Kimball Ave
Chicago, IL 60625
(41.97484541004977, -87.71358529181015)"
Library,Altgeld,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",13281 S. Corliss Ave,Chicago,IL,60827,(312) 747-3270,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"13281 Corliss Ave
Chicago, IL 60827
(41.654748194923336, -87.60220329340268)"
Library,Archer Heights,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",5055 S Archer Ave,Chicago,IL,60632,(312) 747-9241,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"5055 Archer Ave
Chicago, IL 60632
(41.8011516408391, -87.72648637582104)"
Library,Austin,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",5615 W. Race Ave,Chicago,IL,60644,(312) 746-5038,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"5615 Race Ave
Chicago, IL 60644
(41.88923971478115, -87.76572190710762)"
Library,Austin-Irving,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",6100 W Irving Park Rd,Chicago,IL,60634,(312) 744-6222,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"6100 Irving Park Rd
Chicago, IL 60634
(41.95303345551321, -87.77944829132372)"
Library,Avalon,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",8148 S Stony Island Ave ,Chicago,IL,60617,(312) 747-5234,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"8148 Stony Island Ave
Chicago, IL 60617
(41.74634227351919, -87.58587821773722)"
Library,Beverly,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",1962 W 95th St,Chicago,IL,60643,(312) 747-9673,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"1962 95th St
Chicago, IL 60643
(41.721201982994785, -87.6718259361853)"
Library,Bezazian,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",1226 W Ainslie St,Chicago,IL,60640,(312) 744-0019,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"1226 Ainslie St
Chicago, IL 60640
(41.97150782906277, -87.66010941497308)"
Library,Blackstone,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",4904 S Lake Park Ave,Chicago,IL,60615,(312) 747-0511,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"4904 Lake Park Ave
Chicago, IL 60615
(41.80549856317075, -87.58911460582341)"
Library,Brainerd,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",1350 W 89th St,Chicago,IL,60620,(312) 747-6291,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"1350 89th St
Chicago, IL 60620
(41.73238846647307, -87.65729514660165)"
Library,Brighton Park,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",4314 S Archer Ave,Chicago,IL,60632,(312) 747-0666,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"4314 Archer Ave
Chicago, IL 60632
(41.8151249356551, -87.70266951690104)"
Library,Bucktown-Wicker Park,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",1701 N Milwaukee Ave,Chicago,IL,60647,(312) 744-6022,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"1701 Milwaukee Ave
Chicago, IL 60647
(41.91227618114533, -87.68034300369487)"
Library,Budlong Woods,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",5630 N Lincoln Ave,Chicago,IL,60659,(312) 742-9590,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"5630 Lincoln Ave
Chicago, IL 60659
(41.984663209242136, -87.69783932335078)"
Library,Canaryville,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",642 W 43rd St,Chicago,IL,60609,(312) 747-0644,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"642 43rd St
Chicago, IL 60609
(41.81533825960713, -87.64256248524396)"
Library,Chicago Bee,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",3647 S State St,Chicago,IL,60609,(312) 747-6872,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"3647 State St
Chicago, IL 60609
(41.82814460530432, -87.62645562769922)"
Library,Chicago Lawn,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",6120 S Kedzie Ave ,Chicago,IL,60629,(312) 747-0639,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"6120 Kedzie Ave
Chicago, IL 60629
(41.78197629571594, -87.70329432075633)"
Library,Chinatown,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",2353 S Wentworth Ave,Chicago,IL,60616,(312) 747-8013,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"2353 Wentworth Ave
Chicago, IL 60616
(41.84976142050114, -87.63187088623415)"
Library,Clearing,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",6423 W 63rd Place,Chicago,IL,60638,(312) 747-5657,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"6423 63rd Place
Chicago, IL 60638
(41.77669602524939, -87.78179293415415)"
Library,Coleman,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",731 E 63rd St,Chicago,IL,60637,(312) 747-7760,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"731 63rd St
Chicago, IL 60637
(41.78032733934338, -87.60713524338108)"
Library,"Daley, Richard J.-Bridgeport","M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",3400 S Halsted St,Chicago,IL,60608,(312) 747-8990,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"3400 Halsted St
Chicago, IL 60608
(41.83254459934408, -87.6462238075908)"
Library,"Daley, Richard M.-W Humboldt","M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",733 N Kedzie Ave,Chicago,IL,60612,(312) 743-0555,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"733 Kedzie Ave
Chicago, IL 60612
(41.89469362575641, -87.70646180239689)"
Library,Douglass,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",3353 W 13th St,Chicago,IL,60623,(312) 747-3725,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"3353 13th St
Chicago, IL 60623
(41.86447035277306, -87.70965742761399)"
Library,Dunning,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",7455 W Cornelia Ave,Chicago,IL,60634,(312) 743-0480,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"7455 Cornelia Ave
Chicago, IL 60634
(41.94327523068454, -87.81342276248131)"
Library,Edgebrook,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",5331 W Devon Ave,Chicago,IL,60646,(312) 744-8313,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"5331 Devon Ave
Chicago, IL 60646
(41.99724412647362, -87.7621183558191)"
Library,Edgewater,"M: Closed; Tu-th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed; ",1210 W Elmdale Ave,Chicago,IL,60660,(312) 744-0718,CLOSED,CLOSED,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"1210 Elmdale Ave
Chicago, IL 60660
(41.990942289427046, -87.66078987686434)"
Library,Gage Park,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",2807 W 55th St,Chicago,IL,60632,(312) 747-0032,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"2807 55th St
Chicago, IL 60632
(41.79366459870096, -87.69412961040405)"
Library,Galewood-Mont Clare,"M-th: 10am-6pm; F: 9am-5pm; Sa, Su: Closed",6871 W Belden Ave,Chicago,IL,60707,(312) 746-0165,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,9:00AM,5:00PM,CLOSED,CLOSED,CLOSED,CLOSED,,"6871 Belden Ave
Chicago, IL 60707
(41.92109609237066, -87.79728784408778)"
Library,Garfield Ridge,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",6348 S Archer Ave,Chicago,IL,60638,(312) 747-6094,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"6348 Archer Ave
Chicago, IL 60638
(41.79281923599342, -87.78018573538776)"
Library,Greater Grand Crossing,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",1000 East 73rd St,Chicago,IL,60619,(312) 745-1608,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"1000 73rd St
Chicago, IL 60619
(41.76231423275959, -87.60040226851038)"
Library,Hall,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",4801 S Michigan Ave,Chicago,IL,60615,(312) 747-2541,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"4801 Michigan Ave
Chicago, IL 60615
(41.80740636174217, -87.62272923100159)"
Library,Harold Washington-HWLC,"M-th: 9am-9pm; F, Sa: 9am-5pm; Su: 1pm-5pm",400 S State St,Chicago,IL,60605,(312) 747-4300,9:00AM,9:00PM,9:00AM,9:00PM,9:00AM,9:00PM,9:00AM,9:00PM,9:00AM,5:00PM,9:00AM,5:00PM,1:00PM,5:00PM,,"400 State St
Chicago, IL 60605
(41.876895532791686, -87.6277248103858)"
Library,Hegewisch,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",3048 E 130th St,Chicago,IL,60633,(312) 747-0046,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"3048 130th St
Chicago, IL 60633
(41.65923625090685, -87.54920989297193)"
