SITE TYPE,SITE NAME,HOURS OF OPERATION,ADDRESS,CITY,STATE,ZIP,PHONE,LOCATION
Library,Harold Washington-HWLC,"M-TH: 9AM-9PM; F, SA: 9AM-5PM; SU: 1PM-5PM",400 S. State Street,CHICAGO,IL,60605,(312) 747-4300,"400 S. State Street
CHICAGO, IL 60605
(41.87684269200048, -87.62768096199966)"
Library,West Belmont,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",3104 N. Narragansett Avenue,CHICAGO,IL,60634,(312) 746-5142,"3104 N. Narragansett Avenue
CHICAGO, IL 60634
(41.93666353700047, -87.78591314199969)"
Library,Avalon,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",8148 S. Stony Island Avenue ,CHICAGO,IL,60617,(312) 747-5234,"8148 S. Stony Island Avenue
CHICAGO, IL 60617
(41.74634028300045, -87.58584021599967)"
Police Station,District 24,Open Saturday and Sunday,6464 N Clark St,Chicago,IL,60626,312-744-5907,"6464 N Clark St
Chicago, IL 60626
(41.99963299100045, -87.67114660699968)"
Library,Brighton Park,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",4314 S. Archer Avenue,CHICAGO,IL,60632,(312) 747-0666,"4314 S. Archer Avenue
CHICAGO, IL 60632
(41.815103560000466, -87.70264867099968)"
Library,McKinley Park,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",1915 W. 35th Street,CHICAGO,IL,60609,(312) 747-6082,"1915 W. 35th Street
CHICAGO, IL 60609
(41.830383233000475, -87.67347433999964)"
Library,Northtown,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",6435 N. California Avenue,CHICAGO,IL,60645,(312) 744-2292,"6435 N. California Avenue
CHICAGO, IL 60645
(41.99861000700048, -87.69963594299969)"
Police Station,District 20,Open Saturday and Sunday,5400 N Lincoln Ave,Chicago,IL,60625,312-742-8714,"5400 N Lincoln Ave
Chicago, IL 60625
(41.979680921000465, -87.69272016799965)"
Library,"Daley, Richard M.-W Humboldt","M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",733 N. Kedzie Avenue,CHICAGO,IL,60612,(312) 743-0555,"733 N. Kedzie Avenue
CHICAGO, IL 60612
(41.89465784900045, -87.70649554199969)"
Library,Little Village,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",2311 S. Kedzie Avenue,CHICAGO,IL,60623,(312) 745-1862,"2311 S. Kedzie Avenue
CHICAGO, IL 60623
(41.84964133200049, -87.70514624099968)"
Library,King,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",3436 S. King Drive,CHICAGO,IL,60616,(312) 747-7543,"3436 S. King Drive
CHICAGO, IL 60616
(41.83228286500048, -87.61736186599967)"
Library,Galewood-Mont Clare,"M-TH: 10AM-6PM; F: 9AM-5PM; SA, SU: Closed",6871 W. Belden Avenue,CHICAGO,IL,60707,(312) 746-0165,"6871 W. Belden Avenue
CHICAGO, IL 60707
(41.92112133900048, -87.79735993199967)"
Library,Canaryville,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",642 W. 43rd Street,CHICAGO,IL,60609,(312) 747-0644,"642 W. 43rd Street
CHICAGO, IL 60609
(41.81531014500047, -87.64256016299964)"
Library,Dunning,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",7455 W. Cornelia Avenue,CHICAGO,IL,60634,(312) 743-0480,"7455 W. Cornelia Avenue
CHICAGO, IL 60634
(41.94330429200045, -87.81338992699966)"
Library,Uptown,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",929 W. Buena Avenue,CHICAGO,IL,60613,(312) 744-8400,"929 W. Buena Avenue
CHICAGO, IL 60613
(41.958408389000454, -87.65352690599968)"
Library,Coleman,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",731 E. 63rd Street,CHICAGO,IL,60637,(312) 747-7760,"731 E. 63rd Street
CHICAGO, IL 60637
(41.780355262000455, -87.60704760199968)"
Police Station,District 10,Open Saturday and Sunday,3315 W Ogden Ave,Chicago,IL,60623,312-747-7511,"3315 W Ogden Ave
Chicago, IL 60623
(41.85664020900049, -87.70863088299967)"
Library,Roden,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",6083 N. Northwest Highway,CHICAGO,IL,60631,(312) 744-1478,"6083 N. Northwest Highway
CHICAGO, IL 60631
(41.99206004300049, -87.79846316199968)"
Library,South Shore,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",2505 E. 73rd Street,CHICAGO,IL,60649,(312) 747-5281,"2505 E. 73rd Street
CHICAGO, IL 60649
(41.7618200440005, -87.56215044299967)"
Library,West Pullman,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",830 W. 119th Street,CHICAGO,IL,60643,(312) 747-1425,"830 W. 119th Street
CHICAGO, IL 60643
(41.677821130000495, -87.64342040099967)"
Library,"Daley, Richard J.-Bridgeport","M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",3400 S. Halsted Street,CHICAGO,IL,60608,(312) 747-8990,"3400 S. Halsted Street
CHICAGO, IL 60608
(41.832482969000466, -87.64618165399969)"
Library,Portage-Cragin,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",5108 W. Belmont Avenue,CHICAGO,IL,60641,(312) 744-0152,"5108 W. Belmont Avenue
CHICAGO, IL 60641
(41.93875634700049, -87.75466827499969)"
Library,Sherman Park,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",5440 S. Racine Avenue,CHICAGO,IL,60609,(312) 747-0477,"5440 S. Racine Avenue
CHICAGO, IL 60609
(41.79523897400048, -87.65493336099968)"
Library,Pullman,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",11001 S. Indiana Avenue,CHICAGO,IL,60628,(312) 747-2033,"11001 S. Indiana Avenue
CHICAGO, IL 60628
(41.69436197900046, -87.61824910899969)"
Police Station,District 15,Open Saturday and Sunday,5701 W Madison St,Chicago,IL,60644,312-743-1440,"5701 W Madison St
Chicago, IL 60644
(41.88019055600046, -87.76833063299966)"
Library,Chinatown,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",2353 S. Wentworth Avenue,CHICAGO,IL,60616,(312) 747-8013,"2353 S. Wentworth Avenue
CHICAGO, IL 60616
(41.849739083000486, -87.63190345499964)"
Library,Bezazian,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",1226 W. Ainslie Street,CHICAGO,IL,60640,(312) 744-0019,"1226 W. Ainslie Street
CHICAGO, IL 60640
(41.97148275000046, -87.66011256099966)"
Library,Budlong Woods,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",5630 N. Lincoln Avenue,CHICAGO,IL,60659,(312) 742-9590,"5630 N. Lincoln Avenue
CHICAGO, IL 60659
(41.984753844000466, -87.69791568399967)"
Library,Chicago Lawn,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",6120 S. Kedzie Avenue ,CHICAGO,IL,60629,(312) 747-0639,"6120 S. Kedzie Avenue
CHICAGO, IL 60629
(41.78202069500048, -87.70325727299968)"
Police Station,District 4,Open Saturday and Sunday,2255 E 103rd St,Chicago,IL,60617,312-747-7581,"2255 E 103rd St
Chicago, IL 60617
(41.70804480300046, -87.56759293499965)"
Regional Senior Center,Renaissance Court,Mon - Fri 8:30 a.m. to 4:30 p.m. ,78 E. Washington Street,Chicago,IL,60602,312-744-4550,"78 E. Washington Street
Chicago, IL 60602
(41.88329853300047, -87.62513534599964)"
Library,Scottsdale,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",4101 W. 79th Street,CHICAGO,IL,60652,(312) 747-0193,"4101 W. 79th Street
CHICAGO, IL 60652
(41.74938297900047, -87.72439816099967)"
Library,Edgebrook,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",5331 W. Devon Avenue,CHICAGO,IL,60646,(312) 744-8313,"5331 W. Devon Avenue
CHICAGO, IL 60646
(41.997270512000455, -87.76212098299965)"
Library,Brainerd,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",1350 W. 89th Street,CHICAGO,IL,60620,(312) 747-6291,"1350 W. 89th Street
CHICAGO, IL 60620
(41.73235634700046, -87.65750830399969)"
Police Station,District 25,Open Saturday and Sunday,5555 W Grand Ave,Chicago,IL,60639,312-746-8605,"5555 W Grand Ave
Chicago, IL 60639
(41.91847867000047, -87.76442171899964)"
Police Station,District 22,Open Saturday and Sunday,1900 W Monterey Ave,Chicago,IL,60643,312-745-0710,"1900 W Monterey Ave
Chicago, IL 60643
(41.691371766000486, -87.66858555599964)"
Police Station,District 12,Open Saturday and Sunday,100 S Racine Ave,Chicago,IL,60607,312-746-8309,"100 S Racine Ave
Chicago, IL 60607
(41.880243531000474, -87.65714235299964)"
Library,Altgeld,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",13281 S. Corliss Avenue,CHICAGO,IL,60827,(312) 747-3270,"13281 S. Corliss Avenue
CHICAGO, IL 60827
(41.65478292000046, -87.60223786499967)"
Police Station,District 11,Open Saturday and Sunday,3151 W Harrison St,Chicago,IL,60612,312-746-8386,"3151 W Harrison St
Chicago, IL 60612
(41.873661179000464, -87.70475086499965)"
Library,Beverly,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",1962 W. 95th Street,CHICAGO,IL,60643,(312) 747-9673,"1962 W. 95th Street
CHICAGO, IL 60643
(41.721172054000476, -87.67181024599967)"
Library,Greater Grand Crossing,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",1000 East 73rd Street,CHICAGO,IL,60619,(312) 745-1608,"1000 East 73rd Street
CHICAGO, IL 60619
(41.76229017600048, -87.60040045599965)"
Library,Jefferson Park,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",5363 W. Lawrence Avenue,CHICAGO,IL,60630,(312) 744-1998,"5363 W. Lawrence Avenue
CHICAGO, IL 60630
(41.96759643500047, -87.76179280299965)"
Police Station,District 1,Open Saturday and Sunday,1718 S State St,Chicago,IL,60616,312-745-4290,"1718 S State St
Chicago, IL 60616
(41.858721310000476, -87.62732623299968)"
Library,Bucktown-Wicker Park,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",1701 N. Milwaukee Avenue,CHICAGO,IL,60647,(312) 744-6022,"1701 N. Milwaukee Avenue
CHICAGO, IL 60647
(41.912250508000454, -87.68036078699964)"
Police Station,District 9,Open Saturday and Sunday,3120 S Halsted St,Chicago,IL,60608,312-747-8227,"3120 S Halsted St
Chicago, IL 60608
(41.837769995000485, -87.64631630499969)"
Library,Douglass,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",3353 W. 13th Street,CHICAGO,IL,60623,(312) 747-3725,"3353 W. 13th Street
CHICAGO, IL 60623
(41.86449820600046, -87.70962842499966)"
Police Station,District 7,Open Saturday and Sunday,1438 W 63rd St,Chicago,IL,60636,312-747-8223,"1438 W 63rd St
Chicago, IL 60636
(41.77953062500046, -87.66086071199965)"
Police Station,District 5,Open Saturday and Sunday,727 E 111th St,Chicago,IL,60628,312-747-8210,"727 E 111th St
Chicago, IL 60628
(41.6927944360005, -87.60542899399968)"
Police Station,District 2,Open Saturday and Sunday,5101 S Wentworth Ave,Chicago,IL,60609,312-747-8366,"5101 S Wentworth Ave
Chicago, IL 60609
(41.80173405900047, -87.63066379999964)"
Library,Edgewater,"M: Closed; TU-TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed; ",1210 W. Elmdale Avenue,CHICAGO,IL,60660,(312) 744-0718,"1210 W. Elmdale Avenue
CHICAGO, IL 60660
(41.99091653000045, -87.66080956799965)"
Library,Merlo,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",644 W. Belmont Avenue,CHICAGO,IL,60657,(312) 744-1139,"644 W. Belmont Avenue
CHICAGO, IL 60657
(41.9400683930005, -87.64576880699968)"
Library,Lincoln Park,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",1150 W. Fullerton Avenue,CHICAGO,IL,60614,(312) 744-1926,"1150 W. Fullerton Avenue
CHICAGO, IL 60614
(41.92529088800046, -87.65807103699967)"
Police Station,District 19,Open Saturday and Sunday,850 W Addison St,Chicago,IL,60613,312-744-8320,"850 W Addison St
Chicago, IL 60613
(41.9473215270005, -87.6509889519997)"
Library,Legler,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",115 S. Pulaski Road,CHICAGO,IL,60624,(312) 746-7730,"115 S. Pulaski Road
CHICAGO, IL 60624
(41.87929866100046, -87.72557197599969)"
Library,West Englewood,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",1745 W. 63rd Street,CHICAGO,IL,60636,(312) 747-3481,"1745 W. 63rd Street
CHICAGO, IL 60636
(41.7793721160005, -87.66819523199968)"
Library,Hegewisch,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",3048 E. 130th Street,CHICAGO,IL,60633,(312) 747-0046,"3048 E. 130th Street
CHICAGO, IL 60633
(41.659209303000466, -87.54917091199968)"
Library,Wrightwood-Ashburn,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",8530 S. Kedzie Avenue,CHICAGO,IL,60652,(312) 747-2696,"8530 S. Kedzie Avenue
CHICAGO, IL 60652
(41.7383796310005, -87.70211480199964)"
Library,"Whitney M. Young, Jr.","M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",7901 S. King Drive,CHICAGO,IL,60619,(312) 747-0039,"7901 S. King Drive
CHICAGO, IL 60619
(41.75101494800049, -87.61490919799968)"
Police Station,District 3,Open Saturday and Sunday,7040 S Cottage Grove Ave,Chicago,IL,60637,312-747-8201,"7040 S Cottage Grove Ave
Chicago, IL 60637
(41.766428042000484, -87.60561136299964)"
Library,Near North,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",310 W. Division Street,CHICAGO,IL,60610,(312) 744-0991,"310 W. Division Street
CHICAGO, IL 60610
(41.90381296400045, -87.63685100199967)"
Library,North Austin,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",5724 W. North Avenue,CHICAGO,IL,60639,(312) 746-4233,"5724 W. North Avenue
CHICAGO, IL 60639
(41.90936110400048, -87.76881508199966)"
Library,Clearing,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",6423 W. 63rd Place,CHICAGO,IL,60638,(312) 747-5657,"6423 W. 63rd Place
CHICAGO, IL 60638
(41.77672335900047, -87.78207237199967)"
Library,Chicago Bee,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",3647 S. State Street,CHICAGO,IL,60609,(312) 747-6872,"3647 S. State Street
CHICAGO, IL 60609
(41.8281408090005, -87.62649043399966)"
Library,Oriole Park,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",7454 W. Balmoral Avenue,CHICAGO,IL,60656,(312) 744-1965,"7454 W. Balmoral Avenue
CHICAGO, IL 60656
(41.97803599800045, -87.81335922899967)"
Library,Mayfair,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",4400 W. Lawrence Avenue,CHICAGO,IL,60630,(312) 744-1254,"4400 W. Lawrence Avenue
CHICAGO, IL 60630
(41.96812007200049, -87.73825030199964)"
Library,Austin-Irving,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",6100 W. Irving Park Road,CHICAGO,IL,60634,(312) 744-6222,"6100 W. Irving Park Road
CHICAGO, IL 60634
(41.953010193000466, -87.77945015699964)"
Police Station,District 14,Open Saturday and Sunday,2150 N California Ave,Chicago,IL,60647,312-744-8250,"2150 N California Ave
Chicago, IL 60647
(41.920943897000484, -87.69732822699967)"
Library,Lozano,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",1805 S. Loomis Street,CHICAGO,IL,60608,(312) 746-4329,"1805 S. Loomis Street
CHICAGO, IL 60608
(41.85779905200047, -87.66125697599966)"
Library,Logan Square,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",3030 W. Fullerton Avenue,CHICAGO,IL,60647,(312) 744-5295,"3030 W. Fullerton Avenue
CHICAGO, IL 60647
(41.92476083800045, -87.70342026199967)"
Library,Lincoln Belmont,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",1659 W. Melrose Street,CHICAGO,IL,60657,(312) 744-0166,"1659 W. Melrose Street
CHICAGO, IL 60657
(41.940550403000486, -87.67027510399964)"
Library,Hall,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",4801 S. Michigan Avenue,CHICAGO,IL,60615,(312) 747-2541,"4801 S. Michigan Avenue
CHICAGO, IL 60615
(41.80737493100048, -87.62275833699965)"
Library,Vodak-East Side,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",3710 E. 106th Street,CHICAGO,IL,60617,(312) 747-5500,"3710 E. 106th Street
CHICAGO, IL 60617
(41.70274022300049, -87.53351046399968)"
Library,Water Works,"M-TH: 9AM-7PM; F, SA: 9AM-5PM; SU: 1PM-5PM",163 E. Pearson Street,CHICAGO,IL,60611,(312) 742-8811,"163 E. Pearson Street
CHICAGO, IL 60611
(41.89756262800046, -87.62308965999966)"
Library,Jeffery Manor,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",2401 E. 100th Street,CHICAGO,IL,60617,(312) 747-6479,"2401 E. 100th Street
CHICAGO, IL 60617
(41.713520976000495, -87.56542061999966)"
Library,Austin,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",5615 W. Race Avenue,CHICAGO,IL,60644,(312) 746-5038,"5615 W. Race Avenue
CHICAGO, IL 60644
(41.88927052300045, -87.76573306399968)"
Library,West Town,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",1625 W. Chicago Avenue,CHICAGO,IL,60622,(312) 743-0450,"1625 W. Chicago Avenue
CHICAGO, IL 60622
(41.896060942000474, -87.66850034399965)"
Police Station,District 13,Open Saturday and Sunday,937 N Wood St,Chicago,IL,60622,312-746-8357,"937 N Wood St
Chicago, IL 60622
(41.89872601900049, -87.67220623199967)"
Library,Kelly,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",6151 S. Normal Boulevard,CHICAGO,IL,60621,(312) 747-8418,"6151 S. Normal Boulevard
CHICAGO, IL 60621
(41.78236849900048, -87.63749867299964)"
Library,Thurgood Marshall,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",7506 S. Racine Avenue,CHICAGO,IL,60620,(312) 747-5927,"7506 S. Racine Avenue
CHICAGO, IL 60620
(41.7574143380005, -87.65393977899964)"
Police Station,District 18,Open Saturday and Sunday,1160 N Larrabee St,Chicago,IL,60610,312-742-5870,"1160 N Larrabee St
Chicago, IL 60610
(41.90325003100048, -87.64318009099969)"
Library,West Chicago Avenue,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",4856 W. Chicago Avenue,CHICAGO,IL,60651,(312) 743-0260,"4856 W. Chicago Avenue
CHICAGO, IL 60651
(41.89498010000045, -87.74789029599964)"
Library,Archer Heights,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",5055 S. Archer Avenue,CHICAGO,IL,60632,(312) 747-9241,"5055 S. Archer Avenue
CHICAGO, IL 60632
(41.80118383500047, -87.72648405499967)"
Library,Garfield Ridge,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",6348 S. Archer Avenue,CHICAGO,IL,60638,(312) 747-6094,"6348 S. Archer Avenue
CHICAGO, IL 60638
(41.79279109000049, -87.78018070499968)"
Library,Gage Park,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",2807 W. 55th Street,CHICAGO,IL,60632,(312) 747-0032,"2807 W. 55th Street
CHICAGO, IL 60632
(41.79369102300046, -87.69413056099967)"
Library,Walker,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",11071 S. Hoyne Avenue,CHICAGO,IL,60643,(312) 747-1920,"11071 S. Hoyne Avenue
CHICAGO, IL 60643
(41.69234844500045, -87.67414043699966)"
Library,Independence,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",3548 W. Irving Park Road,CHICAGO,IL,60618,(312) 744-0900,"3548 W. Irving Park Road
CHICAGO, IL 60618
(41.95381951900049, -87.71703937699965)"
Library,South Chicago,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",9055 S. Houston Avenue,CHICAGO,IL,60617,(312) 747-8065,"9055 S. Houston Avenue
CHICAGO, IL 60617
(41.7305106660005, -87.54980106099964)"
Library,Mount Greenwood,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",11010 S. Kedzie Avenue,CHICAGO,IL,60655,(312) 747-2805,"11010 S. Kedzie Avenue
CHICAGO, IL 60655
(41.69299076200048, -87.7008702609997)"
Library,Blackstone,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",4904 S. Lake Park Avenue,CHICAGO,IL,60615,(312) 747-0511,"4904 S. Lake Park Avenue
CHICAGO, IL 60615
(41.80552196400049, -87.58908754299966)"
Library,West Lawn,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",4020 W. 63rd Street,CHICAGO,IL,60629,(312) 747-7381,"4020 W. 63rd Street
CHICAGO, IL 60629
(41.778688857000475, -87.72361219799967)"
Library,Toman,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",2708 S. Pulaski Road,CHICAGO,IL,60623,(312) 745-1660,"2708 S. Pulaski Road
CHICAGO, IL 60623
(41.842060380000476, -87.72449089699967)"
Library,Woodson Regional,"M-TH: 9AM-9PM; F, SA: 9AM-5PM; SU: 1PM-5PM",9525 S. Halsted Street,CHICAGO,IL,60628,(312) 747-6900,"9525 S. Halsted Street
CHICAGO, IL 60628
(41.721025813000495, -87.64309366699968)"
Library,Albany Park,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",5150 N. Kimball Avenue,CHICAGO,IL,60625,(312) 744-1933,"5150 N. Kimball Avenue
CHICAGO, IL 60625
(41.975110101000496, -87.71355197799966)"
Library,Rogers Park,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",6907 N. Clark Street,CHICAGO,IL,60626,(312) 744-0156,"6907 N. Clark Street
CHICAGO, IL 60626
(42.0068124660005, -87.67340494099966)"
Police Station,District 17,Open Saturday and Sunday,4650 N Pulaski Rd,Chicago,IL,60630,312-742-4410,"4650 N Pulaski Rd
Chicago, IL 60630
(41.96617041000047, -87.72798000899968)"
Community Service Center,Englewood Center,M-F 9am-5pm,1140 W. 79th Street,Chicago,IL,60620,312-747-0200,"1140 W. 79th Street
Chicago, IL 60620
(41.7507036, -87.6551332)"
Community Service Center,Garfield Center,M-F 9am-5pm,10 S. Kedzie Avenue,Chicago,IL,60612,312-746-5400,"10 S. Kedzie Avenue
Chicago, IL 60612
(41.88079351300047, -87.70613942199964)"
Community Service Center,King Center,M-F 9am-5pm,4314 S. Cottage Grove,Chicago,IL,60653,312-747-2300,"4314 S. Cottage Grove
Chicago, IL 60653
(41.81626077800047, -87.60671035499968)"
