,facility_name,address,community_area,phone_number,zipcode,operation_time,longitude,latitude,x_coordinate,y_coordinate,service_type,notes
18,Children's Center (Western),7956 S WESTERN AVE,ASHBURN,7734768805,60620,,-87.68295309999999,41.74839179999999,1161726.7759037,1851575.7208388,family support (children services),Head Start
19,Dream Child Development,1836 W 87TH ST,AUBURN GRESHAM,7737156265,60620,,-87.6694383,41.7358153,1165450.0929266,1847021.1448131,family support (children services),Head Start
20,J & L Family Learning Day Care,11640 S WENTWORTH AVE,WEST PULLMAN,7738211808,60628,,-87.6277358,41.6821978,1176992.3104918,1827574.1163402,family support (children services),Head Start
21,ABC,3415 W 13TH PL,NORTH LAWNDALE,7737625655,60623,,-87.71112629999999,41.8640187,1153733.7659838002,1893652.6361062,family support (children services),Head Start
22,Little Folks Cottage,5926 W MADISON ST,AUSTIN,7733794419,60644,,-87.7728853,41.8802256,1136872.530848,1899442.4956134,family support (children services),Head Start
23,Little Genius,11439 S MICHIGAN AVE,ROSELAND,7736298091,60628,,-87.6206805,41.6859617,1178908.214049,1828961.4954066002,family support (children services),Head Start
24,Little Hands,7146 S ASHLAND AVE,WEST ENGLEWOOD,7734710662,60636,,-87.6638933,41.763511,1166884.9951001,1857124.9398148998,family support (children services),Head Start
25,McKinley-Ersula Howard,7222 S EXCHANGE AVE,SOUTH SHORE,7732219711,60649,,-87.5647275,41.76379779999999,1193938.4160504,1857455.5996721,family support (children services),Head Start
26,McKinley-Maggie Drummond,4301 S WABASH AVE,GRAND BOULEVARD,7733738200,60653,,-87.62450559999999,41.81642539999999,1177471.7477859,1876492.6834014999,family support (children services),Head Start
27,McKinley-Roseland,11400 S EDBROOKE AVE,ROSELAND,7734681918,60628,,-87.6196079,41.6870255,1179197.9667123999,1829351.5293603002,family support (children services),Head Start
28,McKinley-Trumbull Park,10530 S OGLESBY AVE,SOUTH DEERING,7739785341,60617,,-87.56587979999999,41.704103,1193817.9899411998,1835700.5322714,family support (children services),Head Start
29,Montessori Academy,11025 S HALSTED ST,ROSELAND,7734680033,60628,,-87.64226490000001,41.6934105,1172990.7188443001,1831627.7101645,family support (children services),Head Start
30,Montessori Academy 2,10232 S HALSTED ST,WASHINGTON HEIGHTS,7732331100,60628,,-87.64300279999999,41.7077405,1172747.3133816998,1836847.7492580002,family support (children services),Head Start
31,Precious Little Ones - 51st,221 E 51ST ST,WASHINGTON PARK,7732859902,60615,,-87.62017540000001,41.8019313,1178695.9481481002,1871220.8880945998,family support (children services),Head Start
32,Precious Little Ones - 63rd,22 E 63RD ST,WASHINGTON PARK,7738915055,60637,,-87.6244862,41.7801453,1177586.0416370002,1863272.4675592,family support (children services),Head Start
33,Stepping Stones CCC,1300 E 75TH ST,SOUTH SHORE,7734930000,60619,,-87.5931705,41.758811200000004,1186194.2585012,1855570.4383721,family support (children services),Head Start
34,Albany Park - Ainslie,3401 W AINSLIE ST,ALBANY PARK,7735395907,60625,,-87.7134427,41.9701129,1152823.3374641,1932308.8632018997,family support (children services),Child Care Only
35,Albany Park - Ainslie,3401 W AINSLIE ST,ALBANY PARK,7735395907,60625,,-87.7134427,41.9701129,1152823.3374641,1932308.8632018997,family support (children services),Head Start
36,Albany Park - Kimball,5101 N KIMBALL AVE,NORTH PARK,7735095657,60625,,-87.71337240000001,41.9740164,1152832.1715213002,1933731.4533258998,family support (children services),Head Start
37,Albany Park - Uptown,1020 W BRYN MAWR AVE,EDGEWATER,7737693197,60660,,-87.6561316,41.9838021,1168369.1873724,1937415.2702106002,family support (children services),Head Start
38,"Asian Human Services, Inc",2838 W PETERSON AVE,WEST RIDGE,7737282235,60659,,-87.7009285,41.990544799999995,1156171.5029906,1939779.2488742,family support (children services),Early Learning for Immigrant Families
39,Beacon Therapeutic,1912 W 103RD ST,BEVERLY,7732981243,60643,,-87.6696699,41.706686600000005,1165468.6955056998,1836406.4995277,family support (children services),Early Head Start
40,BBF Family Service,1512 S PULASKI RD,NORTH LAWNDALE,7735427300,60623,,-87.7251426,41.860261,1149925.52777,1892255.9607849,family support (children services),Child Care Only
41,Aldridge  Ira F.,630 E 131ST ST,RIVERDALE,7735355614,60827,,-87.60649620000001,41.6574324,1182870.2934783997,1818598.1781404999,family support (children services),Head Start
42,Azuela  Mariano,4707 W MARQUETTE RD,WEST LAWN,7735357395,60629,,-87.7399233,41.7710516,1146123.6399021999,1859720.3880766998,family support (children services),Head Start
43,Barton Clara,7650 S WOLCOTT AVE,AUBURN GRESHAM,7735353260,60620,,-87.6709645,41.7542196,1164981.8957413998,1853724.2967571,family support (children services),Head Start
44,Bass Perkins,1140 W 66TH ST,ENGLEWOOD,7735353275,60621,,-87.6535423,41.774273799999996,1169677.9327084,1861068.9427655,family support (children services),Head Start
45,Beethoven  Ludwig V.,25 W 47TH ST,GRAND BOULEVARD,7735351480,60609,,-87.627114,41.8091078,1176782.6104887,1873820.3310583,family support (children services),Head Start
46,Beidler  Jacob,3151 W WALNUT ST,EAST GARFIELD PARK,7735346811,60612,,-87.7058186,41.885294,1155122.8619995,1901415.8318256,family support (children services),Head Start
47,Bond  Carrie Jacobs,7050 S MAY ST,ENGLEWOOD,7735353480,60621,,-87.6530551,41.7653864,1169836.4436895,1857831.5031858003,family support (children services),Head Start
48,Boone  Daniel,6710 N WASHTENAW AVE,WEST RIDGE,7735342160,60645,,-87.6975001,42.0034352,1157068.6568339,1944483.4722146,family support (children services),Head Start
49,Bouchet  Edward A,7355 S JEFFERY BLVD,SOUTH SHORE,7735350501,60649,,-87.5760385,41.7608609,1190861.9779283998,1856358.0384419998,family support (children services),Head Start
50,Bradwell  Myra,7736 S BURNHAM AVE,SOUTH SHORE,7735356600,60649,,-87.55717879999999,41.7543734,1196028.8107626,1854039.8981938,family support (children services),Head Start
51,Brown  Ronald,12607 S UNION AVE,WEST PULLMAN,7735355385,60628,,-87.6389203,41.6648451,1173988.0719931002,1821226.1947673,family support (children services),Head Start
52,Brunson Math & Science  Milton,932 N CENTRAL AVE,AUSTIN,7735349674,60651,,-87.76564300000001,41.8976776,1138802.7104188,1905814.9573352002,family support (children services),Head Start
53,Burke  Edmond,5356 S DR MARTIN LUTHER KING JR DR,WASHINGTON PARK,7735351325,60615,,-87.6161781,41.7967928,1179801.4692296998,1869357.523296,family support (children services),Head Start
54,Cameron  Daniel R.,1234 N MONTICELLO AVE,HUMBOLDT PARK,7735344290,60651,,-87.71796309999999,41.9037852,1151767.5462123998,1908130.0675327,family support (children services),Head Start
55,Cardenas  Lazaro,2406 S CENTRAL PARK AVE,SOUTH LAWNDALE,7735341465,60623,,-87.7150338,41.847771200000004,1152712.0270317,1887724.3888241001,family support (children services),Head Start
56,Cather  Willa,2908 W WASHINGTON BLVD,EAST GARFIELD PARK,7735346780,60612,,-87.6992232,41.882977000000004,1156925.0534529,1900584.7191561002,family support (children services),Head Start
57,Chalmers  Thomas,2745 W ROOSEVELT RD,NORTH LAWNDALE,7735341720,60608,,-87.6952608,41.8664078,1158048.936301,1894554.9258119,family support (children services),Head Start
58,Chase Elementary,2021 N POINT ST,LOGAN SQUARE,7735344185,60647,,-87.6945414,41.9180154,1158104.8696362,1913362.1624649,family support (children services),Head Start
59,Chopin  Frederic,2450 W RICE ST,WEST TOWN,7735344080,60622,,-87.6889015,41.8967405,1159698.0854406,1905621.0562498001,family support (children services),Head Start
60,Claremont Math and Science Academy,2300 W 64TH ST,CHICAGO LAWN,7735358110,60636,,-87.6810863,41.7775375,1162155.6446813,1862200.0516175,family support (children services),Head Start
61,Cooper Dual Language Academy  Peter,1624 W 19TH ST,LOWER WEST SIDE,7735347205,60608,,-87.6672475,41.856058399999995,1165708.5174455,1890841.5831092,family support (children services),Head Start
62,Corkery  Daniel,2510 S KILDARE AVE,SOUTH LAWNDALE,7735341650,60623,,-87.7312295,41.8455988,1148304.879137,1886901.4141976002,family support (children services),Head Start
63,Crown Academy,2128 S ST LOUIS AVE,NORTH LAWNDALE,7735341680,60623,,-87.7125068,41.852661499999996,1153387.6486943997,1889511.3864983998,family support (children services),Head Start
64,Curtis  George W.,32 E 115TH ST,ROSELAND,7735355050,60628,,-87.6216615,41.6854457,1178641.8111895001,1828771.2622031001,family support (children services),Head Start
65,Daley  Richard J.,5024 S WOLCOTT AVE,NEW CITY,7735359091,60609,,-87.6722431,41.802343799999996,1164498.218458,1871257.7056326,family support (children services),Head Start
66,Davis  Nathan,3014 W 39TH PL,BRIGHTON PARK,7735354540,60632,,-87.7002286,41.821878600000005,1156815.412008,1878318.6285028,family support (children services),Head Start
67,DePriest  Oscar,139 S PARKSIDE AVE,AUSTIN,7735346800,60639,,-87.7662615,41.877999100000004,1138681.7031058997,1898643.0372354,family support (children services),Head Start
68,Dett  R. Nathaniel,2131 W MONROE ST,NEAR WEST SIDE,7735347160,60612,,-87.6803124,41.8798424,1162083.3814381,1899481.0979277,family support (children services),Head Start
69,Dewey,5415 S UNION AVE,NEW CITY,7735351666,60609,,-87.642615,41.795649299999994,1172596.0501396998,1868881.7912,family support (children services),Head Start
70,Dodge Renaissance Academy  Mary Mapes,431 N TROY ST,HUMBOLDT PARK,7735346640,60612,,-87.7049885,41.8892867,1155338.2455578998,1902872.4026016998,family support (children services),Head Start
71,Doolittle  James R.,535 E 35TH ST,DOUGLAS,7735351040,60616,,-87.6129163,41.831092100000006,1180586.1100642001,1881863.4462036,family support (children services),Head Start
72,Dulles  John Foster,6311 S CALUMET AVE,GREATER GRAND CROSSING,7735350690,60637,,-87.61717490000001,41.779796999999995,1179581.2372744,1863162.0820389,family support (children services),Head Start
73,Dvorak Math & Science Tech Academy  Anton,3615 W 16TH ST,NORTH LAWNDALE,7735341690,60623,,-87.71574629999999,41.858856,1152488.8511275,1891762.2569268001,family support (children services),Head Start
74,Eberhart  John F.,3400 W 65TH PL,CHICAGO LAWN,7735359190,60629,,-87.70800190000001,41.7744471,1154822.3649529,1861019.3834466,family support (children services),Head Start
75,Edwards  Richard,4950 S LAPORTE AVE,GARFIELD RIDGE,7735354875,60632,,-87.7468334,41.8024134,1144160.6771191002,1871135.4711116,family support (children services),Head Start
76,Ellington  Edward Duke K.,224 N CENTRAL AVE,AUSTIN,7735346361,60644,,-87.7651787,41.8850031,1138959.6796311,1901197.209558,family support (children services),Head Start
77,Ericson  Leif,3600 W FIFTH AVE,EAST GARFIELD PARK,7735346660,60624,,-87.7158457,41.8757619,1152417.4439198999,1897922.5401132,family support (children services),Head Start
78,Esmond Elementary,1865 W MONTVALE AVE,MORGAN PARK,7735352650,60643,,-87.66916140000001,41.689390700000004,1165656.1356552,1830105.1420117,family support (children services),Head Start
79,Everett  Edward,3419 S BELL AVE,MCKINLEY PARK,7735354550,60608,,-87.6812732,41.831542,1161955.375333,1881878.5531682998,family support (children services),Head Start
80,Finkl  William F.,2332 S WESTERN AVE,LOWER WEST SIDE,7735355850,60608,,-87.6857041,41.849198799999996,1160699.3058862,1888303.5214943,family support (children services),Head Start
81,Fiske  John,6020 S LANGLEY AVE,WOODLAWN,7735350990,60637,,-87.6086693,41.785171000000005,1181884.6595978,1865139.7606054002,family support (children services),Head Start
82,Fort Dearborn,9025 S THROOP ST,WASHINGTON HEIGHTS,7735352680,60620,,-87.6554443,41.729667,1169287.1833006002,1844810.53795,family support (children services),Head Start
83,Fuller  Melville W.,4214 S ST LAWRENCE AVE,GRAND BOULEVARD,7735351687,60653,,-87.6118208,41.8180061,1180924.7214582,1877097.4644229,family support (children services),Head Start
84,Fulton  Robert,5300 S HERMITAGE AVE,NEW CITY,7735359000,60609,,-87.6684709,41.7975429,1165540.2441466001,1869516.2081415001,family support (children services),Head Start
85,Funston  Frederick,2010 N CENTRAL PARK AVE,LOGAN SQUARE,7735344125,60647,,-87.71692850000001,41.9176213,1152012.9628923999,1913173.9559415001,family support (children services),Head Start
86,Gale Comm. Acad.  Stephen F.,1631 W JONQUIL TER,ROGERS PARK,7735342100,60626,,-87.6719648,42.021064200000005,1163959.5172673,1950960.2045718003,family support (children services),Head Start
87,Gary  Joseph E.,3740 W 31ST ST,SOUTH LAWNDALE,7735341455,60623,,-87.7187045,41.8370925,1151739.7391020001,1883825.9202153,family support (children services),Head Start
88,Goudy  William C.,5120 N WINTHROP AVE,UPTOWN,7735342480,60640,,-87.6579492,41.9758114,1167897.9921283,1934499.5054551002,family support (children services),Head Start
89,Graham  Alexander,4436 S UNION AVE,NEW CITY,7735351308,60609,,-87.6433805,41.813292,1172335.7020617,1875308.9969816003,family support (children services),Head Start
90,Gregory Academy,3715 W POLK ST,EAST GARFIELD PARK,7735346820,60624,,-87.71867320000001,41.87071470000001,1151660.5653553002,1896077.8119119,family support (children services),Head Start
91,Gresham  Walter Q.,8524 S GREEN ST,AUBURN GRESHAM,7735353350,60620,,-87.64506170000001,41.7389133,1172094.3142259,1848202.3083686,family support (children services),Head Start
92,Haley  Alex,11411 S EGGLESTON AVE,ROSELAND,7735355340,60628,,-87.6335948,41.686636799999995,1175378.7137503,1829178.5731801002,family support (children services),Head Start
93,Hamline  John H,4652 S BISHOP ST,NEW CITY,7735354565,60609,,-87.6614683,41.808914,1167417.2857835,1873674.6360121998,family support (children services),Head Start
94,Harvard  John,7525 S HARVARD AVE,GREATER GRAND CROSSING,7735353045,60620,,-87.6327001,41.7573347,1175413.4272027,1854942.1166384998,family support (children services),Head Start
95,Haugan Elementary,4540 N HAMLIN AVE,ALBANY PARK,7735345040,60625,,-87.72316500000001,41.9640352,1150195.2362749,1930075.1758611,family support (children services),Head Start
96,Hay Comm. Academy  John,1018 N LARAMIE AVE,AUSTIN,7735346000,60651,,-87.7558503,41.8991847,1141465.0482532,1906381.9465056,family support (children services),Head Start
97,Hendricks,4316 S PRINCETON AVE,FULLER PARK,7735351696,60609,,-87.6337013,41.81579310000001,1174966.9026937,1876241.7528573996,family support (children services),Head Start
98,Higgins C.A.  Thomas J.,11710 S MORGAN ST,WEST PULLMAN,7735355625,60643,,-87.6470299,41.68100689999999,1171725.3329186002,1827097.5734577999,family support (children services),Head Start
99,Holmes  Oliver Wendell,955 W GARFIELD BLVD,ENGLEWOOD,7735359025,60621,,-87.6497779,41.7937604,1170648.3360896,1868177.8906278,family support (children services),Head Start
100,Hurley  Edward N.,3849 W 69TH PL,WEST LAWN,7735352068,60629,,-87.71950799999999,41.7667583,1151703.8017798,1858195.0380625,family support (children services),Head Start
101,Jenner Academy of the Arts  Edward,1119 N CLEVELAND AVE,NEAR NORTH SIDE,7735348440,60610,,-87.6410189,41.9020581,1172718.667805,1907660.3390054002,family support (children services),Head Start
102,Johnson  James Weldon,1420 S ALBANY AVE,NORTH LAWNDALE,7735341829,60623,,-87.7031756,41.8618398,1155905.301595,1892874.4425446999,family support (children services),Head Start
103,Jordan Comm.,7414 N WOLCOTT AVE,ROGERS PARK,7735342220,60626,,-87.6777993,42.017095399999995,1162385.2234918,1949501.715882,family support (children services),Head Start
104,Kellman  Joseph,3030 W ARTHINGTON ST,EAST GARFIELD PARK,7735346602,60612,,-87.7021617,41.870195200000005,1156159.0955524999,1895921.142954,family support (children services),Head Start
105,Kershaw  Joshua D.,6450 S LOWE AVE,ENGLEWOOD,7735353050,60621,,-87.6409293,41.77647879999999,1173111.9700365,1861899.8984253001,family support (children services),Head Start
106,King ES Academy,644 W 71ST ST,ENGLEWOOD,7735353875,60621,,-87.64132740000001,41.765362599999996,1173035.9716288,1857848.3386097,family support (children services),Head Start
107,Langford  Anna R.,6010 S THROOP ST,WEST ENGLEWOOD,7735359180,60636,,-87.6572053,41.7846565,1168649.0290093,1864844.4630121002,family support (children services),Head Start
108,Lawndale Comm. Academy,3500 W DOUGLAS BLVD,NORTH LAWNDALE,7735341635,60623,,-87.71300620000001,41.862986799999995,1153224.4213854999,1893272.9078320998,family support (children services),Head Start
109,Linne  Carl Von,3221 N SACRAMENTO AVE,AVONDALE,7735345262,60618,,-87.70259820000001,41.9400189,1155853.1192085,1921364.030857,family support (children services),Head Start
110,Little Village,2620 S LAWNDALE AVE,SOUTH LAWNDALE,7735341880,60623,,-87.7173552,41.8436859,1152090.2174972,1886231.1728623002,family support (children services),Head Start
111,Lloyd  Henry D.,2103 N LAMON AVE,BELMONT CRAGIN,7735343070,60639,,-87.7484786,41.9188302,1143423.1391226002,1913554.3587961998,family support (children services),Head Start
112,Lozano Bilingual Elementary  Rodolfo,1501 N GREENVIEW AVE,WEST TOWN,7735344750,60642,,-87.66505759999998,41.90891370000001,1166155.135717,1910106.6537012001,family support (children services),Head Start
113,Madison  James,7433 S DORCHESTER AVE,SOUTH SHORE,7735350551,60619,,-87.59067579999999,41.75955220000001,1186872.5821986,1855846.3470818,family support (children services),Head Start
114,Mason  Roswell B.,4216 W 19TH ST,NORTH LAWNDALE,7735341530,60623,,-87.73040479999999,41.8550573,1148505.3698188,1890349.6609992,family support (children services),Head Start
115,McClellan  George B.,3527 S WALLACE ST,BRIDGEPORT,7735351732,60609,,-87.64106579999999,41.8299896,1172917.6890273998,1881398.6248687,family support (children services),Head Start
116,McCormick  Cyrus H.,2712 S SAWYER AVE,SOUTH LAWNDALE,7735357252,60623,,-87.706336,41.8422451,1155096.5374276,1885727.877657,family support (children services),Head Start
117,McCutcheon Main  John T.,4846 N SHERIDAN RD,UPTOWN,7735342680,60640,,-87.6550041,41.9704864,1168714.1571898002,1932565.3819847,family support (children services),Head Start
118,McDowell  Mary E.,1419 E 89TH ST,CALUMET HEIGHTS,3125356404,60619,,-87.589601,41.733104700000005,1187249.1410775,1846211.6290811,family support (children services),Head Start
119,McKay  Francis M.,6938 S WASHTENAW AVE,CHICAGO LAWN,7735359505,60629,,-87.6907912,41.7670516,1159537.1126142,1858359.1416128003,family support (children services),Head Start
120,McNair Academy Center  Ronald E.,4820 W WALTON ST,AUSTIN,7735348980,60651,,-87.7467464,41.8978464,1143946.8539535,1905911.0717091998,family support (children services),Head Start
121,McPherson  James B.,4728 N WOLCOTT AVE,LINCOLN SQUARE,7735342625,60640,,-87.676325,41.9678476,1162923.5187369,1931558.6052066002,family support (children services),Head Start
122,Monroe  James,3651 W SCHUBERT AVE,LOGAN SQUARE,7735344155,60647,,-87.7192125,41.929961299999995,1151359.1512469999,1917666.2343979,family support (children services),Head Start
123,Moos  Bernhard,1711 N CALIFORNIA AVE,WEST TOWN,7735344340,60647,,-87.6969054,41.912531099999995,1157476.3034073,1911358.8965117,family support (children services),Head Start
124,Morton Career Academy,431 N TROY ST,HUMBOLDT PARK,7735346791,60612,,-87.7049885,41.8892867,1155338.2455578998,1902872.4026016998,family support (children services),Head Start
125,Mt Vernon,10540 S MORGAN ST,WASHINGTON HEIGHTS,7735352825,60643,,-87.64768959999999,41.701966999999996,1171484.320502,1834733.7556763,family support (children services),Head Start
126,N.T.A. (National Teachers Academy),55 W CERMAK RD,NEAR SOUTH SIDE,7735349970,60616,,-87.6292811,41.8527726,1176061.3917616,1889726.7567703999,family support (children services),Head Start
127,Nash  Henry H.,4837 W ERIE ST,AUSTIN,7735346125,60644,,-87.74720009999999,41.8921473,1143837.5424666,1903833.4677543,family support (children services),Head Start
128,New Field Primary School,1707 W MORSE AVE,ROGERS PARK,7735342760,60626,,-87.6731575,42.007675299999995,1163673.0544452,1946078.6817957,family support (children services),Head Start
129,Nicholson Math and Science,6006 S PEORIA ST,ENGLEWOOD,7735353285,60621,,-87.6474887,41.7849277,1171298.2470781,1864964.2680195,family support (children services),Head Start
130,Nightingale,5250 S ROCKWELL ST,GAGE PARK,7735359270,60632,,-87.6891762,41.7977402,1159893.8920362,1869545.1196643002,family support (children services),Head Start
131,Nixon  William P.,2121 N KEELER AVE,HERMOSA,7735344375,60639,,-87.73138370000001,41.919593400000004,1148073.7351096,1913864.6628375,family support (children services),Head Start
132,Oglesby  Richard J,7646 S GREEN ST,AUBURN GRESHAM,7735353060,60620,,-87.6455067,41.7546909,1171926.9143695,1853950.5358592,family support (children services),Head Start
133,O'Keeffe  Isabell C.,6940 S MERRILL AVE,SOUTH SHORE,7735350600,60649,,-87.572843,41.768615600000004,1191708.8262918,1859191.4643178002,family support (children services),Head Start
134,O'Toole  Luke,6550 S SEELEY AVE,WEST ENGLEWOOD,7735359040,60636,,-87.675134,41.7741895,1163788.5517148997,1860992.4291696998,family support (children services),Head Start
135,Peck School,4026 W 59TH ST,WEST ELSDON,7735352450,60629,,-87.7240489,41.7860359,1150415.2661126002,1865210.8461456,family support (children services),Head Start
136,Perez  Manuel,1241 W 19TH ST,LOWER WEST SIDE,7735347650,60608,,-87.6579887,41.8560011,1168231.0338031,1890840.4219076,family support (children services),Head Start
137,Piccolo Specialty School  Brian,1040 N KEELER AVE,HUMBOLDT PARK,7735344425,60651,,-87.7312975,41.9001461,1148146.9214835,1906778.2197341,family support (children services),Head Start
138,Pickard  Josiah L.,2301 W 21ST ST,LOWER WEST SIDE,7735357280,60608,,-87.6833686,41.85378529999999,1161322.9930233,1889979.6130473,family support (children services),Head Start
139,Pilsen Comm. Academy,1420 W 17TH ST,LOWER WEST SIDE,7735347675,60608,,-87.66222540000001,41.8588761,1167068.652977,1891878.9889453999,family support (children services),Head Start
140,Pullman  George M.,11311 S FORRESTVILLE AVE,PULLMAN,7735359395,60628,,-87.60939379999999,41.68879570000001,1181982.4594961,1830019.8498340999,family support (children services),Head Start
141,Randolph Magnet School  A. Philip,7316 S HOYNE AVE,WEST ENGLEWOOD,7735359015,60636,,-87.6760018,41.7605974,1163589.6893943998,1856037.765341,family support (children services),Head Start
142,Reavis  William Claude,834 E 50TH ST,KENWOOD,7735351060,60615,,-87.6049443,41.804201,1182841.803963,1872082.7717723,family support (children services),Head Start
143,Revere  Paul,1010 E 72ND ST,GREATER GRAND CROSSING,7735350618,60619,,-87.6001717,41.7642234,1184267.2681067,1857526.2384098999,family support (children services),Head Start
144,Ruggles  Martha M.,7831 S PRAIRIE AVE,GREATER GRAND CROSSING,7735353085,60619,,-87.6180298,41.7519473,1179432.4598307,1853011.9220806998,family support (children services),Head Start
145,Ryder  William H.,8716 S WALLACE ST,AUBURN GRESHAM,7735353843,60620,,-87.638879,41.735367700000005,1173792.1299011998,1846923.855578,family support (children services),Head Start
146,Sandoval  Socorro,5534 S ST LOUIS AVE,GAGE PARK,7735350457,60629,,-87.71102420000001,41.7923518,1153950.7515656,1867537.7329812,family support (children services),Head Start
147,Saucedo Scholastic Academy  Maria,2850 W 24TH BLVD,SOUTH LAWNDALE,7735341770,60623,,-87.6972871,41.8479686,1157546.7742207,1887831.6323253002,family support (children services),Head Start
148,Seward  William H.,4600 S HERMITAGE AVE,NEW CITY,7735354890,60609,,-87.6688078,41.8102963,1165412.4648757,1874162.7768495,family support (children services),Head Start
149,Sherman  William T,1000 W 52ND ST,NEW CITY,7735351757,60609,,-87.6502548,41.7997877,1170500.8165186,1870373.1586823002,family support (children services),Head Start
150,Sherwood  Jessie,245 W 57TH ST,ENGLEWOOD,7735350829,60621,,-87.63228120000001,41.79077279999999,1175428.3912447,1867127.6354075,family support (children services),Head Start
151,Shields  James,4250 S ROCKWELL ST,BRIGHTON PARK,7735357285,60632,,-87.6896845,41.81593529999999,1159705.6420012,1876174.2677121002,family support (children services),Head Start
152,Spencer Math and Science Academy,214 N LAVERGNE AVE,AUSTIN,7735346150,60644,,-87.75048170000001,41.8848826,1142962.0285272,1901180.1368055001,family support (children services),Head Start
153,Stagg  Amos A.,7424 S MORGAN ST,ENGLEWOOD,7735353565,60621,,-87.6492534,41.7589267,1170892.3200678,1855485.8668393001,family support (children services),Head Start
154,Stowe  Harriet Beecher,3444 W WABANSIA AVE,HUMBOLDT PARK,7735344175,60647,,-87.7132855,41.9119658,1153019.3651021998,1911120.2579556,family support (children services),Head Start
155,Tanner  Henry O.,7350 S EVANS AVE,GREATER GRAND CROSSING,7735353870,60619,,-87.60682829999999,41.7606985,1182462.0616317,1856226.4164397,family support (children services),Head Start
156,Tilton  George W.,223 N KEELER AVE,WEST GARFIELD PARK,7735346746,60624,,-87.7305295,41.884097,1148397.0969953001,1900931.4167855,family support (children services),Head Start
157,Ward  Laura S.,646 N LAWNDALE AVE,HUMBOLDT PARK,7735346440,60624,,-87.7188333,41.8932114,1151558.2584661,1904275.2826814,family support (children services),Head Start
158,Webster  Daniel,4055 W ARTHINGTON ST,WEST GARFIELD PARK,7735346925,60624,,-87.7274816,41.869889,1149263.6087533,1895759.895743,family support (children services),Head Start
